"STATION","NAME","DATE","DAPR","DAWM","MDPR","MDWM","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WDMV"
"USC00048135","SHASTA DAM, CA US","1984-05-08",,,,,"0.00","0.0","0.0","83","55","58","44.7"
"USC00048135","SHASTA DAM, CA US","1984-05-09",,,,,"0.00","0.0","0.0","84","58","61","29.2"
"USC00048135","SHASTA DAM, CA US","1984-05-10",,,,,"0.00","0.0","0.0","79","56","58","34.8"
"USC00048135","SHASTA DAM, CA US","1984-05-11",,,,,"0.00","0.0","0.0","77","58","61","32.9"
"USC00048135","SHASTA DAM, CA US","1984-05-12",,,,,"0.02","0.0","0.0","66","57","59","26.1"
"USC00048135","SHASTA DAM, CA US","1984-05-13",,,,,"0.00","0.0","0.0","84","58","60","23.0"
"USC00048135","SHASTA DAM, CA US","1984-05-14",,,,,"0.00","0.0","0.0","86","56","58","36.0"
"USC00048135","SHASTA DAM, CA US","1984-05-15",,,,,"0.00","0.0","0.0","65","48","52","42.9"
"USC00048135","SHASTA DAM, CA US","1984-05-16",,,,,"0.00","0.0","0.0","71","50","54","49.1"
"USC00048135","SHASTA DAM, CA US","1984-05-17",,,,,"0.00","0.0","0.0","73","54","58","36.0"
"USC00048135","SHASTA DAM, CA US","1984-05-18",,,,,"0.00","0.0","0.0","76","55","59","44.7"
"USC00048135","SHASTA DAM, CA US","1984-05-19",,,,,"0.00","0.0","0.0","85","59","62","41.0"
"USC00048135","SHASTA DAM, CA US","1984-05-20",,,,,"0.00","0.0","0.0","88","62","65","44.1"
"USC00048135","SHASTA DAM, CA US","1984-05-21",,,,,"0.00","0.0","0.0","84","58","61","36.0"
"USC00048135","SHASTA DAM, CA US","1984-05-22",,,,,"0.00","0.0","0.0","84","59","62","49.7"
"USC00048135","SHASTA DAM, CA US","1984-05-23",,,,,"0.00","0.0","0.0","89","63","66","46.0"
"USC00048135","SHASTA DAM, CA US","1984-05-24",,,,,"0.00","0.0","0.0","83","58","60","37.3"
"USC00048135","SHASTA DAM, CA US","1984-05-25",,,,,"0.00","0.0","0.0","81","58","62","39.8"
"USC00048135","SHASTA DAM, CA US","1984-05-26",,,,,"0.00","0.0","0.0","87","58","61","57.2"
"USC00048135","SHASTA DAM, CA US","1984-05-27",,,,,"0.00","0.0","0.0","83","61","70","72.7"
"USC00048135","SHASTA DAM, CA US","1984-05-28",,,,,"0.00","0.0","0.0","93","70","72","65.9"
"USC00048135","SHASTA DAM, CA US","1984-05-29",,,,,"0.00","0.0","0.0","98","69","72","67.1"
"USC00048135","SHASTA DAM, CA US","1984-05-30",,,,,"0.00","0.0","0.0","95","66","67","42.3"
"USC00048135","SHASTA DAM, CA US","1984-05-31",,,,,"0.00","0.0","0.0","92","59","61","69.0"
"USC00048135","SHASTA DAM, CA US","1984-06-01",,,,,"0.00","0.0","0.0","84","61","66","67.1"
"USC00048135","SHASTA DAM, CA US","1984-06-02",,,,,"0.00","0.0","0.0","87","63","65","51.0"
"USC00048135","SHASTA DAM, CA US","1984-06-03",,,,,"0.00","0.0","0.0","84","60","61","70.2"
"USC00048135","SHASTA DAM, CA US","1984-06-04",,,,,"0.01","0.0","0.0","82","57","57","52.2"
"USC00048135","SHASTA DAM, CA US","1984-06-05",,,,,"0.00","0.0","0.0","66","56","59","44.7"
"USC00048135","SHASTA DAM, CA US","1984-06-06",,,,,"0.68","0.0","0.0","70","48","48","34.2"
"USC00048135","SHASTA DAM, CA US","1984-06-07",,,,,"0.33","0.0","0.0","65","48","54","29.2"
"USC00048135","SHASTA DAM, CA US","1984-06-08",,,,,"0.00","0.0","0.0","75","54","58","29.2"
"USC00048135","SHASTA DAM, CA US","1984-06-09",,,,,"0.00","0.0","0.0","76","55","58","54.1"
"USC00048135","SHASTA DAM, CA US","1984-06-10",,,,,"0.00","0.0","0.0","80","54","58","60.9"
"USC00048135","SHASTA DAM, CA US","1984-06-11",,,,,"0.00","0.0","0.0","80","65","58","37.9"
"USC00048135","SHASTA DAM, CA US","1984-06-12",,,,,"0.00","0.0","0.0","82","64","62","55.3"
"USC00048135","SHASTA DAM, CA US","1984-06-13",,,,,"0.00","0.0","0.0","86","60","64","47.2"
"USC00048135","SHASTA DAM, CA US","1984-06-14",,,,,"0.00","0.0","0.0","87","64","67","42.9"
"USC00048135","SHASTA DAM, CA US","1984-06-15",,,,,"0.00","0.0","0.0","91","67","71","44.7"
"USC00048135","SHASTA DAM, CA US","1984-06-16",,,,,"0.00","0.0","0.0","91","68","70","62.8"
"USC00048135","SHASTA DAM, CA US","1984-06-17",,,,,"0.00","0.0","0.0","90","68","68","73.9"
"USC00048135","SHASTA DAM, CA US","1984-06-18",,,,,"0.00","0.0","0.0","92","70","68","77.1"
"USC00048135","SHASTA DAM, CA US","1984-06-19",,,,,"0.00","0.0","0.0","95","70","72","44.7"
"USC00048135","SHASTA DAM, CA US","1984-06-20",,,,,"0.00","0.0","0.0","89","62","63","54.1"
"USC00048135","SHASTA DAM, CA US","1984-06-21",,,,,"0.00","0.0","0.0","82","58","62","59.0"
"USC00048135","SHASTA DAM, CA US","1984-06-22",,,,,"0.00","0.0","0.0","83","62","70","60.9"
"USC00048135","SHASTA DAM, CA US","1984-06-23",,,,,"0.00","0.0","0.0","89","65","68","41.0"
"USC00048135","SHASTA DAM, CA US","1984-06-24",,,,,"0.00","0.0","0.0","97","66","69","32.9"
"USC00048135","SHASTA DAM, CA US","1984-06-25",,,,,"0.00","0.0","0.0","96","68","68","34.2"
"USC00048135","SHASTA DAM, CA US","1984-06-26",,,,,"0.00","0.0","0.0","96","66","68","41.0"
"USC00048135","SHASTA DAM, CA US","1984-06-27",,,,,"0.00","0.0","0.0","97","69","74","31.1"
"USC00048135","SHASTA DAM, CA US","1984-06-28",,,,,"0.00","0.0","0.0","99","70","72","32.9"
"USC00048135","SHASTA DAM, CA US","1984-06-29",,,,,"0.00","0.0","0.0","95","69","71","47.8"
"USC00048135","SHASTA DAM, CA US","1984-06-30",,,,,"0.00","0.0","0.0","105","70","73","55.3"
"USC00048135","SHASTA DAM, CA US","1984-07-01",,,,,"0.00","0.0","0.0","93","70","78","77.1"
"USC00048135","SHASTA DAM, CA US","1984-07-02",,,,,"0.00","0.0","0.0","99","76","79","67.1"
"USC00048135","SHASTA DAM, CA US","1984-07-03",,,,,"0.00","0.0","0.0","101","77","79","83.3"
"USC00048135","SHASTA DAM, CA US","1984-07-04",,,,,"0.00","0.0","0.0","104","77","78","62.1"
"USC00048135","SHASTA DAM, CA US","1984-07-05",,,,,"0.00","0.0","0.0","108","77","78","47.8"
"USC00048135","SHASTA DAM, CA US","1984-07-06",,,,,"0.03","0.0","0.0","104","77","78","57.2"
"USC00048135","SHASTA DAM, CA US","1984-07-07",,,,,"0.00","0.0","0.0","102","76","77","70.2"
"USC00048135","SHASTA DAM, CA US","1984-07-08",,,,,"0.00","0.0","0.0","100","70","72","59.0"
"USC00048135","SHASTA DAM, CA US","1984-07-09",,,,,"0.00","0.0","0.0","99","71","73","52.8"
